<a_128><b_64><c_73>	Salmonella gastroenteritis	ICD9CM:0030
<a_230><b_41><c_133>	Malignant neoplasm of lateral wall of urinary bladder	ICD9CM:1882
<a_230><b_34><c_214>	Malignant neoplasm of anterior wall of urinary bladder	ICD9CM:1883
<a_230><b_34><c_179>	Malignant neoplasm of posterior wall of urinary bladder	ICD9CM:1884
<a_230><b_135><c_209>	Malignant neoplasm of bladder neck	ICD9CM:1885
<a_230><b_53><c_41>	Malignant neoplasm of other specified sites of bladder	ICD9CM:1888
<a_230><b_170><c_173>	Malignant neoplasm of bladder, part unspecified	ICD9CM:1889
<a_28><b_159><c_230>	Malignant neoplasm of kidney, except pelvis	ICD9CM:1890
<a_230><b_149><c_193>	Malignant neoplasm of renal pelvis	ICD9CM:1891
<a_230><b_99><c_52>	Malignant neoplasm of ureter	ICD9CM:1892
<a_230><b_224><c_164>	Malignant neoplasm of urethra	ICD9CM:1893
<a_103><b_9><c_70>	Malignant neoplasm of cerebrum, except lobes and ventricles	ICD9CM:1910
<a_103><b_53><c_139>	Malignant neoplasm of frontal lobe	ICD9CM:1911
<a_103><b_135><c_77>	Malignant neoplasm of temporal lobe	ICD9CM:1912
<a_103><b_41><c_145>	Malignant neoplasm of parietal lobe	ICD9CM:1913
<a_103><b_41><c_230>	Malignant neoplasm of occipital lobe	ICD9CM:1914
<a_103><b_218><c_139>	Malignant neoplasm of ventricles	ICD9CM:1915
<a_103><b_135><c_13>	Malignant neoplasm of cerebellum nos	ICD9CM:1916
<a_103><b_110><c_13>	Malignant neoplasm of brain stem	ICD9CM:1917
<a_103><b_135><c_40>	Malignant neoplasm of other parts of brain	ICD9CM:1918
<a_15><b_253><c_111>	Malignant neoplasm of brain, unspecified	ICD9CM:1919
<a_103><b_135><c_133>	Malignant neoplasm of cerebral meninges	ICD9CM:1921
<a_103><b_135><c_217>	Malignant neoplasm of spinal cord	ICD9CM:1922
<a_10><b_204><c_177>	Malignant neoplasm of thyroid gland	ICD9CM:193
<a_236><b_8><c_26>	Malignant neoplasm of adrenal gland	ICD9CM:1940
<a_15><b_197><c_67>	Malignant neoplasm of head, face, and neck	ICD9CM:1950
<a_236><b_205><c_40>	Malignant neoplasm of pelvis	ICD9CM:1953
<a_157><b_51><c_36>	Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck	ICD9CM:1960
<a_157><b_95><c_49>	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes	ICD9CM:1961
<a_64><b_82><c_61>	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes	ICD9CM:1962
<a_157><b_147><c_214>	Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb	ICD9CM:1963
<a_63><b_45><c_92>	Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb	ICD9CM:1965
<a_159><b_50><c_36>	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes	ICD9CM:1966
<a_63><b_172><c_7>	Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites	ICD9CM:1968
<a_63><b_152><c_40>	Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified	ICD9CM:1969
<a_244><b_80><c_40>	Secondary malignant neoplasm of lung	ICD9CM:1970
<a_244><b_254><c_26>	Secondary malignant neoplasm of mediastinum	ICD9CM:1971
<a_244><b_80><c_139>	Secondary malignant neoplasm of pleura	ICD9CM:1972
<a_64><b_243><c_133>	Secondary malignant neoplasm of other respiratory organs	ICD9CM:1973
<a_244><b_200><c_165>	Secondary malignant neoplasm of small intestine including duodenum	ICD9CM:1974
<a_244><b_90><c_200>	Secondary malignant neoplasm of large intestine and rectum	ICD9CM:1975
<a_236><b_65><c_179>	Secondary malignant neoplasm of retroperitoneum and peritoneum	ICD9CM:1976
<a_23><b_206><c_36>	Malignant neoplasm of liver, secondary	ICD9CM:1977
<a_244><b_208><c_0>	Secondary malignant neoplasm of other digestive organs and spleen	ICD9CM:1978
<a_236><b_205><c_14>	Secondary malignant neoplasm of kidney	ICD9CM:1980
<a_230><b_88><c_10>	Secondary malignant neoplasm of other urinary organs	ICD9CM:1981
<a_64><b_211><c_44>	Secondary malignant neoplasm of skin	ICD9CM:1982
<a_103><b_206><c_51>	Secondary malignant neoplasm of brain and spinal cord	ICD9CM:1983
<a_103><b_147><c_172>	Secondary malignant neoplasm of other parts of nervous system	ICD9CM:1984
<a_231><b_120><c_135>	Secondary malignant neoplasm of bone and bone marrow	ICD9CM:1985
<a_244><b_65><c_40>	Secondary malignant neoplasm of ovary	ICD9CM:1986
<a_244><b_71><c_139>	Secondary malignant neoplasm of adrenal gland	ICD9CM:1987
<a_64><b_52><c_45>	Secondary malignant neoplasm of genital organs	ICD9CM:19882
<a_64><b_175><c_139>	Secondary malignant neoplasm of other specified sites	ICD9CM:19889
<a_26><b_245><c_200>	Disseminated malignant neoplasm without specification of site	ICD9CM:1990
<a_64><b_135><c_40>	Other malignant neoplasm without specification of site	ICD9CM:1991
<a_157><b_206><c_49>	Reticulosarcoma, unspecified site, extranodal and solid organ sites	ICD9CM:20000
<a_159><b_51><c_229>	Reticulosarcoma, lymph nodes of head, face, and neck	ICD9CM:20001
<a_159><b_51><c_33>	Reticulosarcoma, intrathoracic lymph nodes	ICD9CM:20002
<a_159><b_45><c_13>	Reticulosarcoma, intra-abdominal lymph nodes	ICD9CM:20003
<a_63><b_50><c_16>	Lymphosarcoma, unspecified site, extranodal and solid organ sites	ICD9CM:20010
<a_105><b_41><c_131>	Lymphosarcoma, lymph nodes of head, face, and neck	ICD9CM:20011
<a_63><b_222><c_40>	Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20020
<a_105><b_188><c_146>	Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck	ICD9CM:20021
<a_105><b_188><c_137>	Burkitt's tumor or lymphoma, intra-abdominal lymph nodes	ICD9CM:20023
<a_105><b_25><c_233>	Burkitt's tumor or lymphoma, lymph nodes of multiple sites	ICD9CM:20028
<a_63><b_48><c_44>	Marginal zone lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20030
<a_63><b_58><c_13>	Mantle cell lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20040
<a_105><b_50><c_70>	Mantle cell lymphoma, intrathoracic lymph nodes	ICD9CM:20042
<a_63><b_205><c_113>	Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20050
<a_63><b_50><c_73>	Large cell lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20070
<a_105><b_41><c_40>	Large cell lymphoma, lymph nodes of head, face, and neck	ICD9CM:20071
<a_105><b_9><c_40>	Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites	ICD9CM:20080
<a_63><b_50><c_237>	Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites	ICD9CM:20150
<a_105><b_145><c_124>	Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes	ICD9CM:20152
<a_63><b_201><c_70>	Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites	ICD9CM:20158
<a_63><b_11><c_2>	Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites	ICD9CM:20190
<a_63><b_50><c_29>	Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck	ICD9CM:20191
<a_63><b_11><c_205>	Hodgkin's disease, unspecified type, lymph nodes of multiple sites	ICD9CM:20198
<a_63><b_75><c_200>	Nodular lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20200
<a_105><b_175><c_139>	Nodular lymphoma, lymph nodes of head, face, and neck	ICD9CM:20201
<a_105><b_65><c_16>	Nodular lymphoma, lymph nodes of inguinal region and lower limb	ICD9CM:20205
<a_105><b_75><c_10>	Nodular lymphoma, lymph nodes of multiple sites	ICD9CM:20208
<a_63><b_43><c_40>	Mycosis fungoides, unspecified site, extranodal and solid organ sites	ICD9CM:20210
<a_105><b_20><c_70>	Mycosis fungoides, lymph nodes of head, face, and neck	ICD9CM:20211
<a_105><b_75><c_213>	Mycosis fungoides, intrathoracic lymph nodes	ICD9CM:20212
<a_105><b_75><c_6>	Mycosis fungoides, intra-abdominal lymph nodes	ICD9CM:20213
<a_105><b_154><c_7>	Mycosis fungoides, lymph nodes of multiple sites	ICD9CM:20218
<a_63><b_135><c_9>	Sezary's disease, unspecified site, extranodal and solid organ sites	ICD9CM:20220
<a_63><b_206><c_124>	Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites	ICD9CM:20240
<a_63><b_138><c_97>	Malignant mast cell tumors, unspecified site, extranodal and solid organ sites	ICD9CM:20260
<a_63><b_44><c_13>	Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20270
<a_105><b_2><c_44>	Peripheral T cell lymphoma, lymph nodes of multiple sites	ICD9CM:20278
<a_63><b_35><c_159>	Other malignant lymphomas, unspecified site, extranodal and solid organ sites	ICD9CM:20280
<a_105><b_133><c_80>	Other malignant lymphomas, lymph nodes of head, face, and neck	ICD9CM:20281
<a_105><b_124><c_44>	Other malignant lymphomas, intrathoracic lymph nodes	ICD9CM:20282
<a_105><b_35><c_45>	Other malignant lymphomas, intra-abdominal lymph nodes	ICD9CM:20283
<a_105><b_21><c_139>	Other malignant lymphomas, spleen	ICD9CM:20287
<a_105><b_135><c_217>	Other malignant lymphomas, lymph nodes of multiple sites	ICD9CM:20288
<a_199><b_202><c_14>	Multiple myeloma, without mention of having achieved remission	ICD9CM:20300
<a_199><b_192><c_3>	Multiple myeloma, in remission	ICD9CM:20301
<a_231><b_74><c_44>	Multiple myeloma, in relapse	ICD9CM:20302
<a_199><b_86><c_241>	Plasma cell leukemia, without mention of having achieved remission	ICD9CM:20310
<a_231><b_74><c_41>	Plasma cell leukemia, in relapse	ICD9CM:20312
<a_105><b_237><c_82>	Other immunoproliferative neoplasms, without mention of having achieved remission	ICD9CM:20380
<a_199><b_11><c_205>	Acute lymphoid leukemia, without mention of having achieved remission	ICD9CM:20400
<a_199><b_25><c_233>	Acute lymphoid leukemia, in remission	ICD9CM:20401
<a_199><b_192><c_57>	Acute lymphoid leukemia, in relapse	ICD9CM:20402
<a_199><b_11><c_155>	Chronic lymphoid leukemia, without mention of having achieved remission	ICD9CM:20410
<a_199><b_192><c_40>	Chronic lymphoid leukemia, in remission	ICD9CM:20411
<a_199><b_192><c_73>	Chronic lymphoid leukemia, in relapse	ICD9CM:20412
<a_199><b_114><c_200>	Other lymphoid leukemia, without mention of having achieved remission	ICD9CM:20480
<a_199><b_50><c_70>	Acute myeloid leukemia, without mention of having achieved remission	ICD9CM:20500
<a_199><b_205><c_74>	Acute myeloid leukemia, in remission	ICD9CM:20501
<a_231><b_74><c_39>	Acute myeloid leukemia, in relapse	ICD9CM:20502
<a_199><b_50><c_48>	Chronic myeloid leukemia, without mention of having achieved remission	ICD9CM:20510
<a_199><b_33><c_241>	Chronic myeloid leukemia, in remission	ICD9CM:20511
<a_231><b_74><c_3>	Chronic myeloid leukemia, in relapse	ICD9CM:20512
<a_199><b_183><c_35>	Myeloid sarcoma, without mention of having achieved remission	ICD9CM:20530
<a_199><b_85><c_46>	Acute monocytic leukemia, without mention of having achieved remission	ICD9CM:20600
<a_199><b_61><c_215>	Other specified leukemia, without mention of having achieved remission	ICD9CM:20780
<a_199><b_1><c_41>	Acute leukemia of unspecified cell type, without mention of having achieved remission	ICD9CM:20800
<a_199><b_11><c_39>	Unspecified leukemia, without mention of having achieved remission	ICD9CM:20890
<a_244><b_135><c_82>	Malignant carcinoid tumor of unknown primary site	ICD9CM:20920
<a_244><b_135><c_29>	Malignant carcinoid tumor of other sites	ICD9CM:20929
<a_26><b_75><c_53>	Malignant poorly differentiated neuroendocrine carcinoma, any site	ICD9CM:20930
<a_53><b_199><c_121>	Benign carcinoid tumor of the bronchus and lung	ICD9CM:20961
<a_42><b_41><c_16>	Benign carcinoid tumor of other sites	ICD9CM:20969
<a_244><b_70><c_141>	Secondary neuroendocrine tumor of liver	ICD9CM:20972
<a_244><b_229><c_148>	Secondary neuroendocrine tumor of peritoneum	ICD9CM:20974
<a_64><b_149><c_13>	Secondary Merkel cell carcinoma	ICD9CM:20975
<a_244><b_193><c_11>	Secondary neuroendocrine tumor of other sites	ICD9CM:20979
<a_53><b_190><c_52>	Benign neoplasm of tongue	ICD9CM:2101
<a_53><b_82><c_221>	Benign neoplasm of stomach	ICD9CM:2111
<a_42><b_172><c_148>	Benign neoplasm of duodenum, jejunum, and ileum	ICD9CM:2112
<a_53><b_82><c_179>	Benign neoplasm of colon	ICD9CM:2113
<a_42><b_188><c_215>	Benign neoplasm of rectum and anal canal	ICD9CM:2114
<a_42><b_230><c_5>	Benign neoplasm of liver and biliary passages	ICD9CM:2115
<a_42><b_81><c_241>	Benign neoplasm of pancreas, except islets of Langerhans	ICD9CM:2116
<a_53><b_245><c_77>	Benign neoplasm of islets of Langerhans	ICD9CM:2117
<a_53><b_214><c_214>	Benign neoplasm of larynx	ICD9CM:2121
<a_53><b_215><c_155>	Benign neoplasm of bronchus and lung	ICD9CM:2123
<a_53><b_58><c_40>	Benign neoplasm of mediastinum	ICD9CM:2125
<a_53><b_75><c_220>	Benign neoplasm of thymus	ICD9CM:2126
<a_53><b_46><c_200>	Benign neoplasm of heart	ICD9CM:2127
<a_53><b_244><c_13>	Benign neoplasm of long bones of lower limb	ICD9CM:2137
<a_115><b_64><c_21>	Lipoma of intra-abdominal organs	ICD9CM:2143
<a_76><b_110><c_40>	Lipoma of spermatic cord	ICD9CM:2144
<a_42><b_244><c_50>	Lipoma of other specified sites	ICD9CM:2148
<a_42><b_38><c_14>	Other benign neoplasm of connective and other soft tissue of head, face, and neck	ICD9CM:2150
<a_42><b_29><c_52>	Other benign neoplasm of connective and other soft tissue of thorax	ICD9CM:2154
<a_115><b_64><c_29>	Other benign neoplasm of connective and other soft tissue of abdomen	ICD9CM:2155
<a_42><b_51><c_157>	Benign neoplasm of skin of other and unspecified parts of face	ICD9CM:2163
<a_42><b_51><c_61>	Benign neoplasm of skin of trunk, except scrotum	ICD9CM:2165
<a_42><b_23><c_71>	Benign neoplasm of skin of lower limb, including hip	ICD9CM:2167
<a_53><b_244><c_179>	Benign neoplasm of breast	ICD9CM:217
<a_115><b_51><c_52>	Subserous leiomyoma of uterus	ICD9CM:2182
<a_159><b_119><c_172>	Leiomyoma of uterus, unspecified	ICD9CM:2189
<a_53><b_113><c_61>	Benign neoplasm of ovary	ICD9CM:220
<a_42><b_148><c_132>	Benign neoplasm of other specified sites of female genital organs	ICD9CM:2218
<a_53><b_32><c_164>	Benign neoplasm of kidney, except pelvis	ICD9CM:2230
<a_53><b_23><c_28>	Benign neoplasm of brain	ICD9CM:2250
<a_53><b_23><c_112>	Benign neoplasm of cranial nerves	ICD9CM:2251
<a_53><b_23><c_36>	Benign neoplasm of cerebral meninges	ICD9CM:2252
<a_53><b_23><c_139>	Benign neoplasm of spinal cord	ICD9CM:2253
<a_53><b_23><c_39>	Benign neoplasm of spinal meninges	ICD9CM:2254
<a_53><b_239><c_48>	Benign neoplasm of thyroid glands	ICD9CM:226
<a_53><b_127><c_166>	Benign neoplasm of adrenal gland	ICD9CM:2270
<a_53><b_46><c_179>	Benign neoplasm of parathyroid gland	ICD9CM:2271
<a_53><b_80><c_160>	Benign neoplasm of pituitary gland and craniopharyngeal duct	ICD9CM:2273
<a_76><b_80><c_10>	Hemangioma of skin and subcutaneous tissue	ICD9CM:22801
<a_53><b_147><c_32>	Hemangioma of intracranial structures	ICD9CM:22802
<a_115><b_71><c_13>	Hemangioma of intra-abdominal structures	ICD9CM:22804
<a_76><b_147><c_113>	Hemangioma of other sites	ICD9CM:22809
<a_159><b_152><c_44>	Carcinoma in situ of lip, oral cavity, and pharynx	ICD9CM:2300
<a_42><b_90><c_15>	Carcinoma in situ of stomach	ICD9CM:2302
<a_157><b_120><c_121>	Carcinoma in situ of anus, unspecified	ICD9CM:2306
<a_42><b_114><c_179>	Carcinoma in situ of liver and biliary system	ICD9CM:2308
<a_159><b_11><c_139>	Carcinoma in situ of skin of trunk, except scrotum	ICD9CM:2325
<a_157><b_145><c_101>	Carcinoma in situ of skin, site unspecified	ICD9CM:2329
<a_42><b_244><c_179>	Carcinoma in situ of breast	ICD9CM:2330
<a_159><b_250><c_7>	Carcinoma in situ of other and unspecified female genital organs	ICD9CM:2333
<a_230><b_54><c_193>	Carcinoma in situ of bladder	ICD9CM:2337
<a_244><b_82><c_40>	Neoplasm of uncertain behavior of stomach, intestines, and rectum	ICD9CM:2352
<a_42><b_199><c_200>	Neoplasm of uncertain behavior of liver and biliary passages	ICD9CM:2353
<a_236><b_70><c_215>	Neoplasm of uncertain behavior of retroperitoneum and peritoneum	ICD9CM:2354
<a_26><b_25><c_133>	Neoplasm of uncertain behavior of trachea, bronchus, and lung	ICD9CM:2357
<a_42><b_90><c_36>	Neoplasm of uncertain behavior of ovary	ICD9CM:2362
<a_230><b_149><c_83>	Neoplasm of uncertain behavior of bladder	ICD9CM:2367
<a_230><b_88><c_29>	Neoplasm of uncertain behavior of kidney and ureter	ICD9CM:23691
<a_103><b_109><c_98>	Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct	ICD9CM:2370
<a_103><b_201><c_80>	Neoplasm of uncertain behavior of pineal gland	ICD9CM:2371
<a_103><b_162><c_41>	Neoplasm of uncertain behavior of paraganglia	ICD9CM:2373
<a_103><b_195><c_52>	Neoplasm of uncertain behavior of brain and spinal cord	ICD9CM:2375
<a_103><b_244><c_177>	Neoplasm of uncertain behavior of meninges	ICD9CM:2376
<a_51><b_227><c_226>	Neurofibromatosis, unspecified	ICD9CM:23770
<a_75><b_84><c_239>	Neurofibromatosis, type 1 [von recklinghausen's disease]	ICD9CM:23771
<a_75><b_76><c_52>	Schwannomatosis	ICD9CM:23773
<a_103><b_244><c_44>	Neoplasm of uncertain behavior of other and unspecified parts of nervous system	ICD9CM:2379
<a_159><b_235><c_147>	Neoplasm of uncertain behavior of connective and other soft tissue	ICD9CM:2381
<a_159><b_20><c_133>	Neoplasm of uncertain behavior of skin	ICD9CM:2382
<a_57><b_186><c_40>	Polycythemia vera	ICD9CM:2384
<a_231><b_120><c_130>	Neoplasm of uncertain behavior of plasma cells	ICD9CM:2386
<a_159><b_253><c_233>	Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues	ICD9CM:2387
<a_181><b_0><c_40>	Essential thrombocythemia	ICD9CM:23871
<a_231><b_207><c_73>	Low grade myelodysplastic syndrome lesions	ICD9CM:23872
<a_231><b_196><c_179>	High grade myelodysplastic syndrome lesions	ICD9CM:23873
<a_69><b_111><c_135>	Myelodysplastic syndrome, unspecified	ICD9CM:23875
<a_57><b_110><c_217>	Myelofibrosis with myeloid metaplasia	ICD9CM:23876
<a_231><b_107><c_169>	Post-transplant lymphoproliferative disorder (PTLD)	ICD9CM:23877
<a_189><b_34><c_52>	Other lymphatic and hematopoietic tissues	ICD9CM:23879
<a_64><b_44><c_40>	Neoplasm of uncertain behavior of other specified sites	ICD9CM:2388
<a_23><b_145><c_214>	Neoplasm of unspecified nature of digestive system	ICD9CM:2390
<a_26><b_135><c_40>	Neoplasm of unspecified nature of respiratory system	ICD9CM:2391
<a_230><b_208><c_199>	Neoplasm of unspecified nature of bladder	ICD9CM:2394
<a_230><b_88><c_183>	Neoplasm of unspecified nature of other genitourinary organs	ICD9CM:2395
<a_103><b_40><c_124>	Neoplasm of unspecified nature of brain	ICD9CM:2396
<a_103><b_244><c_40>	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system	ICD9CM:2397
<a_68><b_174><c_2>	Goiter, unspecified	ICD9CM:2409
<a_76><b_75><c_40>	Nontoxic uninodular goiter	ICD9CM:2410
<a_46><b_59><c_40>	Nontoxic multinodular goiter	ICD9CM:2411
<a_0><b_205><c_196>	Unspecified nontoxic nodular goiter	ICD9CM:2419
<a_46><b_8><c_133>	Toxic diffuse goiter without mention of thyrotoxic crisis or storm	ICD9CM:24200
<a_237><b_158><c_139>	Toxic uninodular goiter without mention of thyrotoxic crisis or storm	ICD9CM:24210
<a_46><b_8><c_40>	Toxic multinodular goiter without mention of thyrotoxic crisis or storm	ICD9CM:24220
<a_0><b_50><c_226>	Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm	ICD9CM:24280
<a_0><b_38><c_124>	Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm	ICD9CM:24290
<a_240><b_133><c_233>	Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm	ICD9CM:24291
