<a_2><b_222><c_42>	Salmonella gastroenteritis	ICD9CM:0030
<a_66><b_209><c_95>	Malignant neoplasm of lateral wall of urinary bladder	ICD9CM:1882
<a_66><b_170><c_67>	Malignant neoplasm of anterior wall of urinary bladder	ICD9CM:1883
<a_66><b_205><c_116>	Malignant neoplasm of posterior wall of urinary bladder	ICD9CM:1884
<a_66><b_170><c_73>	Malignant neoplasm of bladder neck	ICD9CM:1885
<a_66><b_95><c_98>	Malignant neoplasm of other specified sites of bladder	ICD9CM:1888
<a_66><b_142><c_117>	Malignant neoplasm of bladder, part unspecified	ICD9CM:1889
<a_66><b_52><c_151>	Malignant neoplasm of kidney, except pelvis	ICD9CM:1890
<a_66><b_254><c_199>	Malignant neoplasm of renal pelvis	ICD9CM:1891
<a_66><b_254><c_93>	Malignant neoplasm of ureter	ICD9CM:1892
<a_66><b_252><c_140>	Malignant neoplasm of urethra	ICD9CM:1893
<a_53><b_87><c_181>	Malignant neoplasm of cerebrum, except lobes and ventricles	ICD9CM:1910
<a_53><b_87><c_206>	Malignant neoplasm of frontal lobe	ICD9CM:1911
<a_53><b_87><c_101>	Malignant neoplasm of temporal lobe	ICD9CM:1912
<a_53><b_87><c_189>	Malignant neoplasm of parietal lobe	ICD9CM:1913
<a_53><b_148><c_39>	Malignant neoplasm of occipital lobe	ICD9CM:1914
<a_53><b_211><c_29>	Malignant neoplasm of ventricles	ICD9CM:1915
<a_53><b_238><c_135>	Malignant neoplasm of cerebellum nos	ICD9CM:1916
<a_53><b_184><c_42>	Malignant neoplasm of brain stem	ICD9CM:1917
<a_53><b_238><c_69>	Malignant neoplasm of other parts of brain	ICD9CM:1918
<a_53><b_221><c_148>	Malignant neoplasm of brain, unspecified	ICD9CM:1919
<a_53><b_142><c_196>	Malignant neoplasm of cerebral meninges	ICD9CM:1921
<a_53><b_212><c_140>	Malignant neoplasm of spinal cord	ICD9CM:1922
<a_36><b_77><c_163>	Malignant neoplasm of thyroid gland	ICD9CM:193
<a_45><b_114><c_161>	Malignant neoplasm of adrenal gland	ICD9CM:1940
<a_147><b_16><c_105>	Malignant neoplasm of head, face, and neck	ICD9CM:1950
<a_144><b_197><c_61>	Malignant neoplasm of pelvis	ICD9CM:1953
<a_97><b_197><c_65>	Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck	ICD9CM:1960
<a_165><b_197><c_139>	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes	ICD9CM:1961
<a_165><b_47><c_98>	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes	ICD9CM:1962
<a_165><b_196><c_111>	Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb	ICD9CM:1963
<a_165><b_196><c_78>	Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb	ICD9CM:1965
<a_165><b_252><c_76>	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes	ICD9CM:1966
<a_165><b_196><c_17>	Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites	ICD9CM:1968
<a_165><b_196><c_201>	Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified	ICD9CM:1969
<a_5><b_237><c_95>	Secondary malignant neoplasm of lung	ICD9CM:1970
<a_5><b_16><c_103>	Secondary malignant neoplasm of mediastinum	ICD9CM:1971
<a_5><b_16><c_95>	Secondary malignant neoplasm of pleura	ICD9CM:1972
<a_5><b_237><c_202>	Secondary malignant neoplasm of other respiratory organs	ICD9CM:1973
<a_139><b_16><c_41>	Secondary malignant neoplasm of small intestine including duodenum	ICD9CM:1974
<a_139><b_129><c_139>	Secondary malignant neoplasm of large intestine and rectum	ICD9CM:1975
<a_45><b_76><c_251>	Secondary malignant neoplasm of retroperitoneum and peritoneum	ICD9CM:1976
<a_45><b_150><c_227>	Malignant neoplasm of liver, secondary	ICD9CM:1977
<a_45><b_197><c_3>	Secondary malignant neoplasm of other digestive organs and spleen	ICD9CM:1978
<a_66><b_140><c_77>	Secondary malignant neoplasm of kidney	ICD9CM:1980
<a_66><b_140><c_184>	Secondary malignant neoplasm of other urinary organs	ICD9CM:1981
<a_16><b_172><c_227>	Secondary malignant neoplasm of skin	ICD9CM:1982
<a_53><b_133><c_156>	Secondary malignant neoplasm of brain and spinal cord	ICD9CM:1983
<a_53><b_16><c_245>	Secondary malignant neoplasm of other parts of nervous system	ICD9CM:1984
<a_16><b_76><c_61>	Secondary malignant neoplasm of bone and bone marrow	ICD9CM:1985
<a_45><b_10><c_175>	Secondary malignant neoplasm of ovary	ICD9CM:1986
<a_45><b_254><c_175>	Secondary malignant neoplasm of adrenal gland	ICD9CM:1987
<a_45><b_145><c_151>	Secondary malignant neoplasm of genital organs	ICD9CM:19882
<a_16><b_76><c_150>	Secondary malignant neoplasm of other specified sites	ICD9CM:19889
<a_16><b_133><c_168>	Disseminated malignant neoplasm without specification of site	ICD9CM:1990
<a_16><b_209><c_39>	Other malignant neoplasm without specification of site	ICD9CM:1991
<a_80><b_252><c_251>	Reticulosarcoma, unspecified site, extranodal and solid organ sites	ICD9CM:20000
<a_97><b_172><c_166>	Reticulosarcoma, lymph nodes of head, face, and neck	ICD9CM:20001
<a_165><b_67><c_127>	Reticulosarcoma, intrathoracic lymph nodes	ICD9CM:20002
<a_165><b_152><c_246>	Reticulosarcoma, intra-abdominal lymph nodes	ICD9CM:20003
<a_80><b_205><c_67>	Lymphosarcoma, unspecified site, extranodal and solid organ sites	ICD9CM:20010
<a_97><b_102><c_112>	Lymphosarcoma, lymph nodes of head, face, and neck	ICD9CM:20011
<a_80><b_61><c_166>	Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20020
<a_97><b_172><c_1>	Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck	ICD9CM:20021
<a_165><b_152><c_169>	Burkitt's tumor or lymphoma, intra-abdominal lymph nodes	ICD9CM:20023
<a_97><b_85><c_112>	Burkitt's tumor or lymphoma, lymph nodes of multiple sites	ICD9CM:20028
<a_80><b_212><c_115>	Marginal zone lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20030
<a_80><b_99><c_95>	Mantle cell lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20040
<a_165><b_99><c_156>	Mantle cell lymphoma, intrathoracic lymph nodes	ICD9CM:20042
<a_80><b_80><c_251>	Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20050
<a_80><b_212><c_117>	Large cell lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20070
<a_97><b_102><c_237>	Large cell lymphoma, lymph nodes of head, face, and neck	ICD9CM:20071
<a_80><b_170><c_18>	Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites	ICD9CM:20080
<a_80><b_212><c_12>	Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites	ICD9CM:20150
<a_165><b_52><c_130>	Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes	ICD9CM:20152
<a_97><b_85><c_182>	Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites	ICD9CM:20158
<a_80><b_100><c_106>	Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites	ICD9CM:20190
<a_97><b_172><c_16>	Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck	ICD9CM:20191
<a_97><b_85><c_37>	Hodgkin's disease, unspecified type, lymph nodes of multiple sites	ICD9CM:20198
<a_80><b_129><c_156>	Nodular lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20200
<a_97><b_102><c_106>	Nodular lymphoma, lymph nodes of head, face, and neck	ICD9CM:20201
<a_97><b_124><c_244>	Nodular lymphoma, lymph nodes of inguinal region and lower limb	ICD9CM:20205
<a_97><b_85><c_148>	Nodular lymphoma, lymph nodes of multiple sites	ICD9CM:20208
<a_80><b_88><c_1>	Mycosis fungoides, unspecified site, extranodal and solid organ sites	ICD9CM:20210
<a_97><b_119><c_178>	Mycosis fungoides, lymph nodes of head, face, and neck	ICD9CM:20211
<a_97><b_55><c_251>	Mycosis fungoides, intrathoracic lymph nodes	ICD9CM:20212
<a_97><b_229><c_97>	Mycosis fungoides, intra-abdominal lymph nodes	ICD9CM:20213
<a_97><b_55><c_230>	Mycosis fungoides, lymph nodes of multiple sites	ICD9CM:20218
<a_80><b_88><c_97>	Sezary's disease, unspecified site, extranodal and solid organ sites	ICD9CM:20220
<a_80><b_152><c_11>	Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites	ICD9CM:20240
<a_80><b_196><c_131>	Malignant mast cell tumors, unspecified site, extranodal and solid organ sites	ICD9CM:20260
<a_80><b_39><c_173>	Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites	ICD9CM:20270
<a_97><b_152><c_112>	Peripheral T cell lymphoma, lymph nodes of multiple sites	ICD9CM:20278
<a_80><b_95><c_67>	Other malignant lymphomas, unspecified site, extranodal and solid organ sites	ICD9CM:20280
<a_97><b_102><c_223>	Other malignant lymphomas, lymph nodes of head, face, and neck	ICD9CM:20281
<a_165><b_67><c_105>	Other malignant lymphomas, intrathoracic lymph nodes	ICD9CM:20282
<a_165><b_171><c_161>	Other malignant lymphomas, intra-abdominal lymph nodes	ICD9CM:20283
<a_80><b_67><c_95>	Other malignant lymphomas, spleen	ICD9CM:20287
<a_97><b_160><c_112>	Other malignant lymphomas, lymph nodes of multiple sites	ICD9CM:20288
<a_135><b_183><c_121>	Multiple myeloma, without mention of having achieved remission	ICD9CM:20300
<a_135><b_102><c_112>	Multiple myeloma, in remission	ICD9CM:20301
<a_135><b_172><c_1>	Multiple myeloma, in relapse	ICD9CM:20302
<a_135><b_183><c_182>	Plasma cell leukemia, without mention of having achieved remission	ICD9CM:20310
<a_135><b_172><c_17>	Plasma cell leukemia, in relapse	ICD9CM:20312
<a_135><b_2><c_209>	Other immunoproliferative neoplasms, without mention of having achieved remission	ICD9CM:20380
<a_89><b_212><c_21>	Acute lymphoid leukemia, without mention of having achieved remission	ICD9CM:20400
<a_89><b_127><c_21>	Acute lymphoid leukemia, in remission	ICD9CM:20401
<a_89><b_127><c_36>	Acute lymphoid leukemia, in relapse	ICD9CM:20402
<a_89><b_245><c_35>	Chronic lymphoid leukemia, without mention of having achieved remission	ICD9CM:20410
<a_89><b_73><c_227>	Chronic lymphoid leukemia, in remission	ICD9CM:20411
<a_89><b_73><c_167>	Chronic lymphoid leukemia, in relapse	ICD9CM:20412
<a_89><b_249><c_54>	Other lymphoid leukemia, without mention of having achieved remission	ICD9CM:20480
<a_89><b_136><c_221>	Acute myeloid leukemia, without mention of having achieved remission	ICD9CM:20500
<a_89><b_95><c_122>	Acute myeloid leukemia, in remission	ICD9CM:20501
<a_89><b_148><c_183>	Acute myeloid leukemia, in relapse	ICD9CM:20502
<a_89><b_9><c_18>	Chronic myeloid leukemia, without mention of having achieved remission	ICD9CM:20510
<a_89><b_192><c_118>	Chronic myeloid leukemia, in remission	ICD9CM:20511
<a_89><b_106><c_204>	Chronic myeloid leukemia, in relapse	ICD9CM:20512
<a_135><b_140><c_17>	Myeloid sarcoma, without mention of having achieved remission	ICD9CM:20530
<a_89><b_208><c_255>	Acute monocytic leukemia, without mention of having achieved remission	ICD9CM:20600
<a_89><b_152><c_50>	Other specified leukemia, without mention of having achieved remission	ICD9CM:20780
<a_89><b_99><c_54>	Acute leukemia of unspecified cell type, without mention of having achieved remission	ICD9CM:20800
<a_89><b_152><c_168>	Unspecified leukemia, without mention of having achieved remission	ICD9CM:20890
<a_45><b_30><c_248>	Malignant carcinoid tumor of unknown primary site	ICD9CM:20920
<a_45><b_30><c_11>	Malignant carcinoid tumor of other sites	ICD9CM:20929
<a_45><b_30><c_161>	Malignant poorly differentiated neuroendocrine carcinoma, any site	ICD9CM:20930
<a_45><b_55><c_1>	Benign carcinoid tumor of the bronchus and lung	ICD9CM:20961
<a_45><b_198><c_208>	Benign carcinoid tumor of other sites	ICD9CM:20969
<a_45><b_192><c_11>	Secondary neuroendocrine tumor of liver	ICD9CM:20972
<a_45><b_113><c_123>	Secondary neuroendocrine tumor of peritoneum	ICD9CM:20974
<a_16><b_167><c_67>	Secondary Merkel cell carcinoma	ICD9CM:20975
<a_45><b_39><c_2>	Secondary neuroendocrine tumor of other sites	ICD9CM:20979
<a_145><b_151><c_208>	Benign neoplasm of tongue	ICD9CM:2101
<a_166><b_108><c_242>	Benign neoplasm of stomach	ICD9CM:2111
<a_166><b_214><c_39>	Benign neoplasm of duodenum, jejunum, and ileum	ICD9CM:2112
<a_166><b_250><c_43>	Benign neoplasm of colon	ICD9CM:2113
<a_166><b_250><c_65>	Benign neoplasm of rectum and anal canal	ICD9CM:2114
<a_166><b_167><c_112>	Benign neoplasm of liver and biliary passages	ICD9CM:2115
<a_166><b_172><c_242>	Benign neoplasm of pancreas, except islets of Langerhans	ICD9CM:2116
<a_166><b_183><c_67>	Benign neoplasm of islets of Langerhans	ICD9CM:2117
<a_145><b_250><c_111>	Benign neoplasm of larynx	ICD9CM:2121
<a_145><b_109><c_245>	Benign neoplasm of bronchus and lung	ICD9CM:2123
<a_145><b_150><c_227>	Benign neoplasm of mediastinum	ICD9CM:2125
<a_145><b_150><c_1>	Benign neoplasm of thymus	ICD9CM:2126
<a_145><b_167><c_183>	Benign neoplasm of heart	ICD9CM:2127
<a_145><b_254><c_201>	Benign neoplasm of long bones of lower limb	ICD9CM:2137
<a_166><b_61><c_139>	Lipoma of intra-abdominal organs	ICD9CM:2143
<a_166><b_180><c_133>	Lipoma of spermatic cord	ICD9CM:2144
<a_145><b_114><c_182>	Lipoma of other specified sites	ICD9CM:2148
<a_145><b_30><c_46>	Other benign neoplasm of connective and other soft tissue of head, face, and neck	ICD9CM:2150
<a_145><b_167><c_109>	Other benign neoplasm of connective and other soft tissue of thorax	ICD9CM:2154
<a_166><b_237><c_126>	Other benign neoplasm of connective and other soft tissue of abdomen	ICD9CM:2155
<a_145><b_52><c_221>	Benign neoplasm of skin of other and unspecified parts of face	ICD9CM:2163
<a_145><b_52><c_163>	Benign neoplasm of skin of trunk, except scrotum	ICD9CM:2165
<a_145><b_254><c_105>	Benign neoplasm of skin of lower limb, including hip	ICD9CM:2167
<a_166><b_114><c_71>	Benign neoplasm of breast	ICD9CM:217
<a_144><b_101><c_35>	Subserous leiomyoma of uterus	ICD9CM:2182
<a_144><b_15><c_221>	Leiomyoma of uterus, unspecified	ICD9CM:2189
<a_166><b_86><c_215>	Benign neoplasm of ovary	ICD9CM:220
<a_144><b_55><c_166>	Benign neoplasm of other specified sites of female genital organs	ICD9CM:2218
<a_169><b_119><c_113>	Benign neoplasm of kidney, except pelvis	ICD9CM:2230
<a_145><b_10><c_146>	Benign neoplasm of brain	ICD9CM:2250
<a_221><b_112><c_214>	Benign neoplasm of cranial nerves	ICD9CM:2251
<a_145><b_10><c_5>	Benign neoplasm of cerebral meninges	ICD9CM:2252
<a_145><b_10><c_17>	Benign neoplasm of spinal cord	ICD9CM:2253
<a_145><b_10><c_115>	Benign neoplasm of spinal meninges	ICD9CM:2254
<a_166><b_33><c_166>	Benign neoplasm of thyroid glands	ICD9CM:226
<a_166><b_244><c_239>	Benign neoplasm of adrenal gland	ICD9CM:2270
<a_166><b_244><c_105>	Benign neoplasm of parathyroid gland	ICD9CM:2271
<a_221><b_230><c_86>	Benign neoplasm of pituitary gland and craniopharyngeal duct	ICD9CM:2273
<a_221><b_55><c_1>	Hemangioma of skin and subcutaneous tissue	ICD9CM:22801
<a_145><b_10><c_58>	Hemangioma of intracranial structures	ICD9CM:22802
<a_166><b_28><c_251>	Hemangioma of intra-abdominal structures	ICD9CM:22804
<a_221><b_55><c_221>	Hemangioma of other sites	ICD9CM:22809
<a_147><b_214><c_78>	Carcinoma in situ of lip, oral cavity, and pharynx	ICD9CM:2300
<a_32><b_28><c_185>	Carcinoma in situ of stomach	ICD9CM:2302
<a_139><b_20><c_65>	Carcinoma in situ of anus, unspecified	ICD9CM:2306
<a_246><b_229><c_168>	Carcinoma in situ of liver and biliary system	ICD9CM:2308
<a_39><b_198><c_230>	Carcinoma in situ of skin of trunk, except scrotum	ICD9CM:2325
<a_16><b_88><c_251>	Carcinoma in situ of skin, site unspecified	ICD9CM:2329
<a_144><b_114><c_12>	Carcinoma in situ of breast	ICD9CM:2330
<a_144><b_136><c_166>	Carcinoma in situ of other and unspecified female genital organs	ICD9CM:2333
<a_66><b_5><c_218>	Carcinoma in situ of bladder	ICD9CM:2337
<a_246><b_165><c_65>	Neoplasm of uncertain behavior of stomach, intestines, and rectum	ICD9CM:2352
<a_246><b_121><c_131>	Neoplasm of uncertain behavior of liver and biliary passages	ICD9CM:2353
<a_246><b_21><c_17>	Neoplasm of uncertain behavior of retroperitoneum and peritoneum	ICD9CM:2354
<a_5><b_186><c_246>	Neoplasm of uncertain behavior of trachea, bronchus, and lung	ICD9CM:2357
<a_144><b_119><c_175>	Neoplasm of uncertain behavior of ovary	ICD9CM:2362
<a_66><b_233><c_93>	Neoplasm of uncertain behavior of bladder	ICD9CM:2367
<a_66><b_153><c_163>	Neoplasm of uncertain behavior of kidney and ureter	ICD9CM:23691
<a_221><b_223><c_109>	Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct	ICD9CM:2370
<a_221><b_133><c_76>	Neoplasm of uncertain behavior of pineal gland	ICD9CM:2371
<a_221><b_164><c_112>	Neoplasm of uncertain behavior of paraganglia	ICD9CM:2373
<a_221><b_133><c_1>	Neoplasm of uncertain behavior of brain and spinal cord	ICD9CM:2375
<a_221><b_133><c_227>	Neoplasm of uncertain behavior of meninges	ICD9CM:2376
<a_221><b_212><c_219>	Neurofibromatosis, unspecified	ICD9CM:23770
<a_221><b_136><c_161>	Neurofibromatosis, type 1 [von recklinghausen's disease]	ICD9CM:23771
<a_221><b_212><c_76>	Schwannomatosis	ICD9CM:23773
<a_221><b_133><c_145>	Neoplasm of uncertain behavior of other and unspecified parts of nervous system	ICD9CM:2379
<a_16><b_20><c_163>	Neoplasm of uncertain behavior of connective and other soft tissue	ICD9CM:2381
<a_16><b_110><c_17>	Neoplasm of uncertain behavior of skin	ICD9CM:2382
<a_135><b_5><c_106>	Polycythemia vera	ICD9CM:2384
<a_16><b_180><c_185>	Neoplasm of uncertain behavior of plasma cells	ICD9CM:2386
<a_16><b_180><c_199>	Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues	ICD9CM:2387
<a_135><b_152><c_242>	Essential thrombocythemia	ICD9CM:23871
<a_135><b_99><c_5>	Low grade myelodysplastic syndrome lesions	ICD9CM:23872
<a_135><b_99><c_1>	High grade myelodysplastic syndrome lesions	ICD9CM:23873
<a_135><b_99><c_156>	Myelodysplastic syndrome, unspecified	ICD9CM:23875
<a_135><b_208><c_73>	Myelofibrosis with myeloid metaplasia	ICD9CM:23876
<a_135><b_11><c_184>	Post-transplant lymphoproliferative disorder (PTLD)	ICD9CM:23877
<a_16><b_180><c_166>	Other lymphatic and hematopoietic tissues	ICD9CM:23879
<a_16><b_186><c_163>	Neoplasm of uncertain behavior of other specified sites	ICD9CM:2388
<a_246><b_165><c_112>	Neoplasm of unspecified nature of digestive system	ICD9CM:2390
<a_5><b_152><c_246>	Neoplasm of unspecified nature of respiratory system	ICD9CM:2391
<a_66><b_50><c_18>	Neoplasm of unspecified nature of bladder	ICD9CM:2394
<a_66><b_233><c_175>	Neoplasm of unspecified nature of other genitourinary organs	ICD9CM:2395
<a_53><b_208><c_11>	Neoplasm of unspecified nature of brain	ICD9CM:2396
<a_221><b_133><c_201>	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system	ICD9CM:2397
<a_76><b_123><c_125>	Goiter, unspecified	ICD9CM:2409
<a_76><b_125><c_117>	Nontoxic uninodular goiter	ICD9CM:2410
<a_76><b_177><c_47>	Nontoxic multinodular goiter	ICD9CM:2411
<a_76><b_118><c_88>	Unspecified nontoxic nodular goiter	ICD9CM:2419
<a_76><b_37><c_106>	Toxic diffuse goiter without mention of thyrotoxic crisis or storm	ICD9CM:24200
<a_76><b_37><c_3>	Toxic uninodular goiter without mention of thyrotoxic crisis or storm	ICD9CM:24210
<a_76><b_37><c_61>	Toxic multinodular goiter without mention of thyrotoxic crisis or storm	ICD9CM:24220
<a_76><b_56><c_18>	Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm	ICD9CM:24280
<a_76><b_49><c_7>	Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm	ICD9CM:24290
<a_76><b_49><c_1>	Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm	ICD9CM:24291
